,Unnamed: 0,unique_id,feature_1,feature_2,feature_3,presence,grid
39,39,10000039,8,3,5,1,0000000000000000010000000000000000000000010010000101111000000000
40,40,10000040,9,1,9,1,0000000000000000000000000000000000000000111111000011100000000000
41,41,10000041,10,1,10,1,0000000000000100110111000011110000000000000000000000000000000000
42,42,10000042,3,1,3,1,0000000000000000000010000000110000000000000000000000000000000000
43,43,10000043,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
44,44,10000044,1,1,1,1,0000000000000000000000000000000000000000010000000000000000000000
45,45,10000045,4,1,4,1,0000000000000000000000000000000000000000000000000011110000000000
46,46,10000046,5,1,5,1,0000000000000000000000000000000000000000011111000000000000000000
47,47,10000047,7,2,5,1,0000000000000000000000000001111011000010000000000000000000000000
48,48,10000048,8,1,8,1,0000000000000000000000000000000000000000111111100000100000000000
49,49,10000049,9,1,9,1,0000000000000000000010000001110011100100100000000000000000000000
50,50,10000050,23,4,20,1,0000000000000100100000000011010011111110111111001000110010000001
51,51,10000051,5,2,4,1,0000000000000000100011000001100000000000000000000000000000000000
52,52,10000052,6,2,4,1,0000000000000000110011000001100000000000000000000000000000000000
53,53,10000053,4,2,2,1,0000000000000000110011000000000000000000000000000000000000000000
54,54,10000054,7,4,3,1,0000000000000100110011000000000000000000010000000000000001000000
55,55,10000055,19,5,12,1,0000011001010100010000000001000111110000111111100000000000000000
56,56,10000056,8,4,5,1,0000000000010000000000000000010000000000011110000001001000000000
57,57,10000057,7,1,7,1,0000000000000000000000000000000000000000011111000001100000000000
58,58,10000058,5,1,5,1,0000000000000000000000000100110000110000000000000000000000000000
59,59,10000059,12,2,11,1,0000000000000000111011001111110000000000000000000000000001000000
60,60,10000060,7,2,5,1,0000000000000000000010001101110000010000000000000000000000000000
61,61,10000061,12,2,7,1,0001100011001110111011000000000000000000000000000000000000000000
62,62,10000062,15,1,15,1,0000100010111100110111100001110000000000000000000000000000000000
63,63,10000063,19,2,18,1,0011110011011111111111001000000000000000000000000000001000000000
64,64,10000064,18,1,18,1,1001111011011110111111100000000000000000000000000000000000000000
65,65,10000065,13,1,13,1,0001100010111110110110100000000000000000000000000000000000000000
66,66,10000066,17,1,17,1,1101110001111110111110000000100000000000000000000000000000000000
67,67,10000067,5,2,3,1,0000000000000000110111000000000000000000000000000000000000000000
68,68,10000068,10,1,10,1,0000000000000000000000000000000011101000111111000000000000000000
69,69,10000069,2,2,1,0,0000000000000000100000000000000000100000000000000000000000000000
70,70,10000070,1,1,1,0,0000000000000000000000000000100000000000000000000000000000000000
71,71,10000071,13,1,13,1,0000000000000000000000000000000011110010111111100010000000000000
72,72,10000072,12,1,12,1,0000000000000000000000000000000011111000111111100000000000000000
73,73,10000073,7,2,5,1,0000000000000000000000001001110001001100000000000000000000000000
74,74,10000074,5,1,5,1,0000000000000000000000000000000000000000111110000000000000000000
75,75,10000075,3,2,2,1,0000000000000000000000000000000000010100000100000000000000000000
76,76,10000076,17,1,17,1,0000000000000000100111001111111011111100000000000000000000000000
77,77,10000077,3,2,2,1,0000000000000000000000000000000000000000110000000000100000000000
78,78,10000078,3,1,3,1,0000000000000000000000000000000000010000001100000000000000000000
79,79,10000079,11,4,8,1,0001000010000000001000000000000011111100000101000000000000000000
80,80,10000080,16,1,16,1,0000000000000000001110101111111011111000000000000000000000000000
81,81,10000081,11,1,11,1,0000000000000000000000000000000000000000110000001111110011100000
82,82,10000082,9,3,6,1,0000000000010000000000000000000011000000011101100001000000000000
83,83,10000083,3,2,2,1,0000000000000000000000000000000000000000110000000000010000000000
84,84,10000084,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
85,85,10000085,6,1,6,1,0000000000000000000010000111110000000000000000000000000000000000
86,86,10000086,14,4,11,1,1000000000000000000010000000001001000000011111000101110000100000
87,87,10000087,8,1,8,1,0000000000000000000000000000000000110000111110000000010000000000
88,88,10000088,3,2,2,1,0000000000000000000000000000000000000000011000000000000001000000
89,89,10000089,15,3,13,1,0000001000000000000100000000000000000000110110001111111000011000
90,90,10000090,6,1,6,1,0000000000000000010000000111110000000000000000000000000000000000
91,91,10000091,11,2,10,1,0000000000010000000000000000000010000000100010000111110000110000
92,92,10000092,7,3,4,1,1000000000000000000010001101110000000000000000000000000000000000
93,93,10000093,0,0,0,1,0000000000000000000000000000000000000000000000000000000000000000
94,94,10000094,6,2,5,1,0000000000000000000000000001110010101000000000000000000000000000
95,95,10000095,6,3,4,1,0000000000000100000000000000000000100000111001000000000000000000
96,96,10000096,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
97,97,10000097,4,2,2,1,0000000000000000000000000000000000000000011011000000000000000000
98,98,10000098,4,2,3,1,0000000000000000000000000000000000000000111001000000000000000000
99,99,10000099,20,1,20,1,0001000000010100110111101111111010101000010000000000000000000000
100,100,10000100,19,3,17,1,0000000000000100000000001111110011011110011111000000000001000000
101,101,10000101,14,3,8,1,0000000000000000000000001100110011001110010111000000000001000000
102,102,10000102,10,2,6,1,0000000000000000000111001100111010100000000000000000000000000000
103,103,10000103,11,2,7,1,0000000000000000000000001001110011001110010010000000000000000000
104,104,10000104,16,1,16,1,0000000000000000000000000101110011101110111111000000000000000000
105,105,10000105,6,3,4,1,0000000000000000000000001000110000100010000001000000000000000000
106,106,10000106,10,2,9,1,0000000100000000000000000000000000000000110100001111110000000000
107,107,10000107,4,2,3,1,0000000000000000000000000000000000000000000000001010100000010000
108,108,10000108,5,2,3,1,0000000000000000000000000000000000000000000000000000100011011000
109,109,10000109,8,2,7,1,0000000000000000000000000000000000100000000000000000100011111100
110,110,10000110,16,3,12,1,0000011000010000000010000000000000000000010000001100101011111110
111,111,10000111,7,1,7,1,0000000000000000000000000000000000000000000000000000100011111100
112,112,10000112,10,2,9,1,0000000000000100000000000000000001000000111111100000001000000000
113,113,10000113,6,2,5,1,0100000000000000000000000000100011110000000000000000000000000000
114,114,10000114,5,2,4,1,0000000010000000000011000001100000000000000000000000000000000000
115,115,10000115,4,1,4,1,0000000000000000000011000001100000000000000000000000000000000000
116,116,10000116,10,2,8,1,0000000000010100010111001001100000100000000000000000000000000000
117,117,10000117,8,1,8,1,0000000000000000010111001011100000000000000000000000000000000000
118,118,10000118,18,2,17,1,0000000000100000000000000000000010100000111111001111011000110010
119,119,10000119,7,4,3,0,0001000000010000010101000000010000100000000000000000000000000000
120,120,10000120,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
121,121,10000121,1,1,1,0,0000000000000000000000000000000000100000000000000000000000000000
122,122,10000122,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
123,123,10000123,2,2,1,0,0001000000000100000000000000000000000000000000000000000000000000
124,124,10000124,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
125,125,10000125,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
126,126,10000126,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
127,127,10000127,3,1,3,1,0000000000000000000000000000000000000000111000000000000000000000
128,128,10000128,4,1,4,1,0000000000000000000010000011100000000000000000000000000000000000
129,129,10000129,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
130,130,10000130,2,2,1,1,0000000000000000000000000000000000001000010000000000000000000000
131,131,10000131,1,1,1,1,0000000000000000000000000000000000000000001000000000000000000000
132,132,10000132,8,1,8,1,0000000000000000000000000000000000000000000001001111110000010000
133,133,10000133,2,2,1,1,0000000000000000000000000000000000000000001010000000000000000000
134,134,10000134,5,1,5,1,0000000000000000000000000000000000001100011100000000000000000000
135,135,10000135,3,2,2,1,0000000000000000000000000000000000000000011010000000000000000000
136,136,10000136,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
137,137,10000137,2,2,1,1,0000000000000000000000000000000000000000000000000100100000000000
138,138,10000138,7,3,5,1,0000000000000000000000000000000000100000000001001011100000001000
139,139,10000139,0,0,0,1,0000000000000000000000000000000000000000000000000000000000000000
140,140,10000140,7,4,3,1,0000000000010100000100000000000000100000000000000011100000000000
141,141,10000141,2,1,2,1,0000000000000000000000000000000000000000000000000110000000000000
142,142,10000142,5,1,5,1,0000000000000000000000000000000000000000000000000101100001100000
143,143,10000143,3,2,2,1,0000000000000000000000000000000000000000000000001100000000010000
144,144,10000144,2,2,1,1,0000000000000000000000000000000000000000000000001000000000010000
145,145,10000145,10,1,10,1,0000000000000000000000000000000000000000000000001111110001111000
146,146,10000146,11,1,11,1,0000000000000000000000000000000000000000110000000111111000111000
147,147,10000147,17,2,16,1,0000000000000000000010000000000001000000110000001111111010111110
148,148,10000148,15,1,15,1,0000000000000000010111101111111000111000000000000000000000000000
149,149,10000149,28,1,28,1,0000000000000000110111101111111111110111111111000000001000000000
150,150,10000150,40,1,40,1,0000000000010100100111001111111011111111111111101111111011111000
151,151,10000151,17,1,17,1,0010101011111100110111110000100000000000000000000000000000000000
152,152,10000152,12,2,10,1,0000000010111110100111100001000000000000000000000000000000000000
153,153,10000153,10,2,8,1,0000001000011110110010100000010000000000000000000000000000000000
154,154,10000154,9,2,7,1,0000001000001110110011000000100000000000000000000000000000000000
155,155,10000155,7,2,4,1,0000000000000000110011001000110000000000000000000000000000000000
156,156,10000156,8,2,5,1,0000000000000000010111001001100010000000000000000000000000000000
157,157,10000157,3,2,2,1,0000000000000000010011000000000000000000000000000000000000000000
158,158,10000158,6,1,6,1,0000000000000000011111000000100000000000000000000000000000000000
159,159,10000159,1,1,1,1,0000000000000000000010000000000000000000000000000000000000000000
160,160,10000160,4,2,2,1,0000000000000000010011001000000000000000000000000000000000000000
161,161,10000161,1,1,1,1,0000000000000000000010000000000000000000000000000000000000000000
162,162,10000162,5,4,2,1,0100000000000001000011000010000000000000000000000000000000000000
163,163,10000163,7,2,6,1,0000000000010000010111000000110000000000000000000000000000000000
164,164,10000164,6,1,6,1,0000000000000000010010000011110000000000000000000000000000000000
165,165,10000165,3,2,2,1,0000000000000000000000000000000011001000000000000000000000000000
166,166,10000166,5,1,5,1,0000000000000000000000000000000000001000011110000000000000000000
167,167,10000167,2,1,2,1,0000000000000000000000000000000000000000011000000000000000000000
168,168,10000168,5,2,4,1,0000000000000001000000000000000000000000000000000111100000000000
169,169,10000169,8,1,8,1,0000000000000000000000000000000000000000000000001111100000111000
170,170,10000170,16,5,12,1,0000000000000100100000000001000000000000010100101111100001111100
171,171,10000171,3,2,2,1,0000000000000000000000000000000000000000000000000110100000000000
172,172,10000172,7,2,6,1,0000000000000000000000000010000000000000000000100111110000000000
173,173,10000173,5,2,4,1,0000000000000000100000000000000000000000000000000001110000010000
174,174,10000174,1,1,1,1,0000000000000000000000000000000000000000000000000001000000000000
175,175,10000175,6,1,6,1,0000000000000000000000000000000000101000011110000000000000000000
176,176,10000176,1,1,1,0,0000000000000000000000000000000000000000000010000000000000000000
177,177,10000177,4,3,2,1,0000000000000001000000000000000000000000011010000000000000000000
178,178,10000178,2,1,2,1,0000000000000000000000000000000000000000000100000010000000000000
179,179,10000179,8,2,7,1,0000000000000000000100000000000001101000011100000100000000000000
180,180,10000180,18,4,11,1,0001000100010100010010000000010011010000111111000000010000000010
181,181,10000181,4,1,4,1,0000000000000000000000000000000000000000011110000000000000000000
182,182,10000182,1,1,1,1,0000000000000000000000000000000000000000000000000000100000000000
183,183,10000183,1,1,1,1,0000000000000000000000000000000000000000000000000000100000000000
184,184,10000184,3,2,2,1,0000000000000000000000000000000000001000010100000000000000000000
185,185,10000185,2,1,2,1,0000000000000000000000000000000000001000000100000000000000000000
186,186,10000186,5,1,5,1,0000000000000000000000000000000000001000011110000000000000000000
187,187,10000187,4,2,2,1,0000000000000000000000000000000001101100000000000000000000000000
188,188,10000188,4,2,3,1,0000000000000000000000000000000001101000010000000000000000000000
189,189,10000189,7,1,7,1,0000000000000000000000000000000011000000011111000000000000000000
190,190,10000190,12,2,11,1,0000000000000000000000000000000001101000111111100000010000010000
191,191,10000191,7,2,5,1,0000000000001100110111000000000000000000000000000000000000000000
192,192,10000192,8,1,8,1,0000000000011100111011000000000000000000000000000000000000000000
193,193,10000193,6,2,4,1,0000000000001100010011000100000000000000000000000000000000000000
194,194,10000194,10,3,6,1,0000000000011100110111000100000000000000000000000000010000000000
195,195,10000195,8,2,7,1,1000000000000100011111100000000000000000000000000000000000000000
196,196,10000196,10,3,7,1,0000000000011100010111001000010000000000010000000000000000000000
197,197,10000197,7,2,5,1,0000000000011100110011000000000000000000000000000000000000000000
198,198,10000198,9,1,9,1,0000000000000000000000000001110011111100000000000000000000000000
199,199,10000199,9,2,8,1,0100000000000000000000000000000000100000110000000111110000000000
200,200,10000200,6,2,4,1,0000000000000000000000000000000000000000010000000101110000010000
201,201,10000201,9,1,9,1,0000000000000000000000000000000000000000110010001111110000000000
202,202,10000202,4,3,2,1,0000000000000000000000000000000000000000100000000011010000000000
203,203,10000203,4,2,2,1,0000000000000000000000000000000000000000000000001100100000000100
204,204,10000204,8,2,5,1,0000000000000000000000000000000000000000100000001100100010101100
205,205,10000205,8,1,8,1,0000000000000000000000000000000000000000000000001101100001101100
206,206,10000206,8,1,8,1,0000000000000000000000000000000000000000000000001111101000100100
207,207,10000207,7,2,4,1,0000000000000000000000000000000000000000000000001101100001001100
208,208,10000208,4,2,3,1,0000000000000000000000000000000000000000000000000100000001100100
209,209,10000209,3,3,1,1,0000000000000000000000000000000000000000000000001010100000000000
210,210,10000210,14,1,14,1,0000000000000000000000000000100011101110111111000001000000000000
211,211,10000211,21,2,20,1,0000000000000000000010001101111011111110111110000000010010000000
212,212,10000212,13,2,12,1,1000000000000000000000001001110011111110100000000000000000000000
213,213,10000213,10,2,5,1,0000000000000000000000001000110011101110001000000000000000000000
214,214,10000214,19,1,19,1,0000000000000000100010001111111011111110010100100000000000000000
215,215,10000235,9,2,7,1,0000000000011110110111000000000000000000000000000000000000000000
216,216,10000236,10,7,3,0,0001000010000000001010000001000000000001010000100000000000010010
217,217,10000237,1,1,1,0,0000000000000100000000000000000000000000000000000000000000000000
218,218,10000238,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
219,219,10000239,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
220,220,10000240,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
221,221,10000241,2,1,2,1,0000000000000000000000000000110000000000000000000000000000000000
222,222,10000242,3,2,2,1,0000000000000000000000000000000000000000000000000101100000000000
223,223,10000243,4,2,3,1,0000000000000000000000000000000000101000011000000000000000000000
224,224,10000244,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
225,225,10000245,4,2,2,1,0000000000000000000000000000000001101100000000000000000000000000
226,226,10000246,1,1,1,1,0000000000000000000000000000000000000000010000000000000000000000
227,227,10000247,7,1,7,1,0000000000000000000000000000000000000000011111000000101000000000
228,228,10000248,7,3,5,1,0000000000000000000010001001110000010000100000000000000000000000
229,229,10000249,1,1,1,1,0000000000000000000000000000000000000000000000000000100000000000
230,230,10000250,6,1,6,1,0000000000000000000000000000000000000000000000000111110000001000
231,231,10000251,8,1,8,1,0000000000000000000000000000000000000010111111000000100000000000
232,232,10000252,8,2,4,1,0000000000000000000000000000000001000000111011100000100000000000
233,233,10000253,4,2,2,1,0000000000000000010010001000100000000000000000000000000000000000
234,234,10000254,5,2,3,1,0000000000000000010011001000100000000000000000000000000000000000
235,235,10000255,6,2,4,1,0000000000000000010001001000111000000000000000000000000000000000
236,236,10000256,13,3,11,1,0000000010000100111011100001110000000000000000000000001010000000
237,237,10000257,13,4,6,1,0100000000000000000000000000000011000000111011100010101010000000
238,238,10000258,11,2,10,1,0000000000000000001000000000000001000000011111101000110000000000
239,239,10000259,16,5,12,1,0001010100000000100000000000000000010000111110000111110001000000
240,240,10000260,16,1,16,1,0000000000111000110111101101111000001000000000000000000000000000
241,241,10000261,12,2,11,1,0000000000000000000000001111110011100010010010000000000000000000
242,242,10000262,16,2,15,1,0000000000000000000010000111110011111110010010000000000001000000
243,243,10000263,14,2,12,1,0000000000000000001011101111111000010000110000000000000000000000
244,244,10000264,4,2,3,1,0000000000000000000000000000000000000000100000000000110000010000
245,245,10000265,8,1,8,1,0000000000000000000000000000000000000000000000001111110000011000
246,246,10000266,6,1,6,1,0000000000000000000000000000000000000000000000000100110010110000
247,247,10000267,1,1,1,1,0000000000000000000000000000000000000000000000000000000001000000
248,248,10000268,8,1,8,1,0000000000000000000000000000000010111100111000000000000000000000
249,249,10000269,9,1,9,1,0000000000000000000000000000000001101100111110000000000000000000
250,250,10000270,7,2,5,1,0000000000000000100011001001110000000000000000000000000000000000
251,251,10000271,9,2,7,1,0000000000000000000010000101110001011010000000000000000000000000
252,252,10000272,18,1,18,1,0000000000000000000000000001100011101110111111100001101000000000
253,253,10000273,17,2,16,1,0000000000000100000011001111111011100100110000000000000010000000
254,254,10000274,10,2,9,1,0111101010110100000000000000010000000000000000000000000000000000
255,255,10000275,17,3,15,1,0000000000000101000000000000100011111110111110100000001000000000
256,256,10000276,5,3,3,0,0000000000000001000000100000010000100000000000000000000000100000
257,257,10000277,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
258,258,10000278,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
259,259,10000279,0,0,0,0,0000000000000000000000000000000000000000000000000000000000000000
260,260,10000280,6,2,5,1,0000000000000100000111000000010000000000000000100000000000000000
261,261,10000281,1,1,1,0,0000000000000000000000000000000000000010000000000000000000000000
